&#x1F347,grapes,🍇
&#x1F348,melon,🍈
&#x1F349,watermelon,🍉
&#x1F34A,orange,🍊
&#x1F34B,lemon,🍋
&#x1F34C,banana,🍌
&#x1F34D,pineapple,🍍
&#x1F96D,mango,🥭
&#x1F34E,red apple,🍎
&#x1F34F,green apple,🍏
&#x1F350,pear,🍐
&#x1F351,peach,🍑
&#x1F352,cherries,🍒
&#x1F353,strawberry,🍓
&#x1FAD0,blueberry,🫐
&#x1F95D,kiwi,🥝
&#x1F345,tomato,🍅
&#x1FAD2,olive,🫒
&#x1F965,coconut,🥥
&#x1F951,avocado,🥑
&#x1F346,eggplant,🍆
&#x1F954,potato,🥔
&#x1F955,carrot,🥕
&#x1F33D,corn,🌽
&#x1FAD1,bell pepper,🫑
&#x1F952,cucumber,🥒
&#x1F96C,lettuce,🥬
&#x1F966,broccoli,🥦
&#x1F9C4,garlic,🧄
&#x1F9C5,onion,🧅
&#x1F344,mushroom,🍄
&#x1F95C,peanuts,🥜
&#x1F330,chestnut,🌰
&#x1F35E,bread,🍞
&#x1F950,croissant,🥐
&#x1F956,baguette,🥖
&#x1FAD3,flatbread,🫓
&#x1F968,pretzel,🥨
&#x1F96F,bagel,🥯
&#x1F95E,pancakes,🥞
&#x1F9C7,waffle,🧇
&#x1F9C0,cheese,🧀
&#x1F356,meat on leg,🍖
&#x1F357,poultry,🍗
&#x1F969,cut of meat,🥩
&#x1F953,bacon,🥓
&#x1F354,burger,🍔
&#x1F35F,french fries,🍟
&#x1F355,pizza,🍕
&#x1F32D,hot dog,🌭
&#x1F96A,sandwich,🥪
&#x1F32E,taco,🌮
&#x1F32F,burrito,🌯
&#x1FAD4,tamale,🫔
&#x1F959,stuffed flatbread,🥙
&#x1F9C6,falafel,🧆
&#x1F95A,egg,🥚
&#x1F373,cooking,🍳
&#x1F958,shallow pan of food,🥘
&#x1F372,pot of food,🍲
&#x1FAD5,fondue,🫕
&#x1F963,bowl with spoon,🥣
&#x1F957,green salad,🥗
&#x1F37F,popcorn,🍿
&#x1F9C8,butter,🧈
&#x1F9C2,salt,🧂
&#x1F96B,canned food,🥫
&#x1F371,bento box,🍱
&#x1F358,rice cracker,🍘
&#x1F359,rice ball,🍙
&#x1F35A,cooked rice,🍚
&#x1F35B,curry rice,🍛
&#x1F35C,steaming bowl,🍜
&#x1F35D,spaghetti,🍝
&#x1F360,roasted sweet potato,🍠
&#x1F362,oden,🍢
&#x1F363,sushi,🍣
&#x1F364,fried shrimp,🍤
&#x1F365,fish cake with swirl,🍥
&#x1F96E,moon cake,🥮
&#x1F361,dango,🍡
&#x1F95F,dumpling,🥟
&#x1F960,fortune cookie,🥠
&#x1F961,takeout box,🥡
&#x1F980,crab,🦀
&#x1F99E,lobster,🦞
&#x1F990,shrimp,🦐
&#x1F991,squid,🦑
&#x1F9AA,oyster,🦪
&#x1F366,soft ice cream,🍦
&#x1F367,shaved ice,🍧
&#x1F368,ice cream,🍨
&#x1F369,doughnut,🍩
&#x1F36A,cookie,🍪
&#x1F382,birthday cake,🎂
&#x1F370,shortcake,🍰
&#x1F9C1,cupcake,🧁
&#x1F967,pie,🥧
&#x1F36B,chocolate bar,🍫
&#x1F36C,candy,🍬
&#x1F36D,lollipop,🍭
&#x1F36E,custard,🍮
&#x1F36F,honey pot,🍯
&#x1F37C,baby bottle,🍼
&#x1F95B,glass of milk,🥛
&#x2615,hot beverage,☕
&#x1FAD6,teapot,🫖
&#x1F375,teacup without handle,🍵
&#x1F376,sake,🍶
&#x1F37E,bottle with popping cork,🍾
&#x1F377,wine glass,🍷
&#x1F378,cocktail glass,🍸
&#x1F379,tropical drink,🍹
&#x1F37A,beer mug,🍺
&#x1F37B,clinking beer mugs,🍻
&#x1F942,clinking glasses,🥂
&#x1F943,whiskey glass,🥃
&#x1F964,cup with straw,🥤
&#x1F9CB,bubble tea,🧋
&#x1F9C3,beverage box,🧃
&#x1F9C9,mate,🧉
&#x1F9CA,ice,🧊
&#x1F962,chopsticks,🥢
&#x1F374,fork and knife,🍴
&#x1F944,spoon,🥄
&#x1F52A,kitchen knife,🔪
&#x1F3FA,amphora,🏺
&#x1F336,hot pepper,🌶
&#x1F37D,fork and knife with plate,🍽